,c,k,noise,omega,algorithm,ari
0,20,3,0.0,0.0,DiSim,0.8035681752779869
0,20,3,0.0,0.0,Herm,0.9738744957713172
0,20,3,0.0,0.00025,DiSim,0.7914445342028245
0,20,3,0.0,0.00025,Herm,0.9718795424850909
0,20,3,0.0,0.0005,DiSim,0.7862218407918834
0,20,3,0.0,0.0005,Herm,0.9703983068504459
0,20,3,0.0,0.00075,DiSim,0.789989865531911
0,20,3,0.0,0.00075,Herm,0.9684700993787866
0,20,3,0.0,0.001,DiSim,0.7787794391699284
0,20,3,0.0,0.001,Herm,0.9669795382993646
0,20,3,0.0,0.00125,DiSim,0.7630233781489566
0,20,3,0.0,0.00125,Herm,0.9664870352273205
0,20,3,0.0,0.0015,DiSim,0.7265151929433364
0,20,3,0.0,0.0015,Herm,0.966487455564748
0,20,3,0.0,0.00175,DiSim,0.7058401359517628
0,20,3,0.0,0.00175,Herm,0.9664719290168008
0,20,3,0.0,0.002,DiSim,0.6787676447117789
0,20,3,0.0,0.002,Herm,0.9640694753590069
0,60,3,0.0,0.0,DiSim,0.9279407223270397
0,60,3,0.0,0.0,Herm,0.9809891329149886
0,60,3,0.0,0.00025,DiSim,0.9340308054852211
0,60,3,0.0,0.00025,Herm,0.9809891329149886
0,60,3,0.0,0.0005,DiSim,0.9340308054852211
0,60,3,0.0,0.0005,Herm,0.9809891329149886
0,60,3,0.0,0.00075,DiSim,0.9340308054852211
0,60,3,0.0,0.00075,Herm,0.9809891329149886
0,60,3,0.0,0.001,DiSim,0.9335373775853928
0,60,3,0.0,0.001,Herm,0.9809891329149886
0,60,3,0.0,0.00125,DiSim,0.9325450445620161
0,60,3,0.0,0.00125,Herm,0.9809891329149886
0,60,3,0.0,0.0015,DiSim,0.9295762378721902
0,60,3,0.0,0.0015,Herm,0.9809891329149886
0,60,3,0.0,0.00175,DiSim,0.9280931970748733
0,60,3,0.0,0.00175,Herm,0.9804937637095444
0,60,3,0.0,0.002,DiSim,0.9285927182273931
0,60,3,0.0,0.002,Herm,0.9809891329149886
0,20,5,0.0,0.0,DiSim,0.8010348301767485
0,20,5,0.0,0.0,Herm,0.9716986609330598
0,20,5,0.0,0.00025,DiSim,0.7923706115035185
0,20,5,0.0,0.00025,Herm,0.9714717725657748
0,20,5,0.0,0.0005,DiSim,0.730197195453423
0,20,5,0.0,0.0005,Herm,0.9700166997421321
0,20,5,0.0,0.00075,DiSim,0.6459654056583926
0,20,5,0.0,0.00075,Herm,0.9680720974601602
0,20,5,0.0,0.001,DiSim,0.5823707523854159
0,20,5,0.0,0.001,Herm,0.9663770644325462
0,20,5,0.0,0.00125,DiSim,0.5351944627811044
0,20,5,0.0,0.00125,Herm,0.9641729767687665
0,20,5,0.0,0.0015,DiSim,0.49790148693376474
0,20,5,0.0,0.0015,Herm,0.9612451131102988
0,20,5,0.0,0.00175,DiSim,0.46065011917604415
0,20,5,0.0,0.00175,Herm,0.9597795923769297
0,20,5,0.0,0.002,DiSim,0.4150549363457082
0,20,5,0.0,0.002,Herm,0.9573614418851896
0,60,5,0.0,0.0,DiSim,0.9360137181550081
0,60,5,0.0,0.0,Herm,0.9955164195326726
0,60,5,0.0,0.00025,DiSim,0.9350047121915345
0,60,5,0.0,0.00025,Herm,0.9952648487882467
0,60,5,0.0,0.0005,DiSim,0.9345045201525508
0,60,5,0.0,0.0005,Herm,0.9955164195326726
0,60,5,0.0,0.00075,DiSim,0.9318253000466183
0,60,5,0.0,0.00075,Herm,0.9955164195326726
0,60,5,0.0,0.001,DiSim,0.9276887482003291
0,60,5,0.0,0.001,Herm,0.9955137330864164
0,60,5,0.0,0.00125,DiSim,0.8939965116977286
0,60,5,0.0,0.00125,Herm,0.9955131645278802
0,60,5,0.0,0.0015,DiSim,0.8666484149895359
0,60,5,0.0,0.0015,Herm,0.9957653664997961
0,60,5,0.0,0.00175,DiSim,0.8408799013002785
0,60,5,0.0,0.00175,Herm,0.9952615935596184
0,60,5,0.0,0.002,DiSim,0.8053230703842219
0,60,5,0.0,0.002,Herm,0.995009583692039
0,20,3,0.15,0.0,DiSim,0.3349963691156254
0,20,3,0.15,0.0,Herm,0.8999047285524641
0,20,3,0.15,0.00025,DiSim,0.3265285529437618
0,20,3,0.15,0.00025,Herm,0.89662439533015
0,20,3,0.15,0.0005,DiSim,0.3176264734717346
0,20,3,0.15,0.0005,Herm,0.8918713185255434
0,20,3,0.15,0.00075,DiSim,0.3060485042382125
0,20,3,0.15,0.00075,Herm,0.8895171436023437
0,20,3,0.15,0.001,DiSim,0.29558597033638334
0,20,3,0.15,0.001,Herm,0.8862765575413072
0,20,3,0.15,0.00125,DiSim,0.2840866495009835
0,20,3,0.15,0.00125,Herm,0.8826228068976821
0,20,3,0.15,0.0015,DiSim,0.27835285401501536
0,20,3,0.15,0.0015,Herm,0.8784697335629541
0,20,3,0.15,0.00175,DiSim,0.2697584212080349
0,20,3,0.15,0.00175,Herm,0.8756951333085236
0,20,3,0.15,0.002,DiSim,0.256489568964551
0,20,3,0.15,0.002,Herm,0.8767117763490674
0,60,3,0.15,0.0,DiSim,0.4617114220591221
0,60,3,0.15,0.0,Herm,0.9751516221305265
0,60,3,0.15,0.00025,DiSim,0.46030511128092894
0,60,3,0.15,0.00025,Herm,0.9751516221305265
0,60,3,0.15,0.0005,DiSim,0.44912165110197877
0,60,3,0.15,0.0005,Herm,0.9746456921492671
0,60,3,0.15,0.00075,DiSim,0.4246401346413616
0,60,3,0.15,0.00075,Herm,0.9746456921492671
0,60,3,0.15,0.001,DiSim,0.6711711741866448
0,60,3,0.15,0.001,Herm,0.9746456921492671
0,60,3,0.15,0.00125,DiSim,0.8289759560420029
0,60,3,0.15,0.00125,Herm,0.983038007073879
0,60,3,0.15,0.0015,DiSim,0.8628742155502559
0,60,3,0.15,0.0015,Herm,0.9746485992982877
0,60,3,0.15,0.00175,DiSim,0.8735300936146001
0,60,3,0.15,0.00175,Herm,0.990543866714177
0,60,3,0.15,0.002,DiSim,0.8744180594864642
0,60,3,0.15,0.002,Herm,0.990543866714177
0,20,5,0.15,0.0,DiSim,0.5552837783758163
0,20,5,0.15,0.0,Herm,0.9288096161024896
0,20,5,0.15,0.00025,DiSim,0.5279521293899634
0,20,5,0.15,0.00025,Herm,0.924701248874665
0,20,5,0.15,0.0005,DiSim,0.46994966914315933
0,20,5,0.15,0.0005,Herm,0.9198931381092892
0,20,5,0.15,0.00075,DiSim,0.4284459834499745
0,20,5,0.15,0.00075,Herm,0.9167926313680737
0,20,5,0.15,0.001,DiSim,0.3888159633869887
0,20,5,0.15,0.001,Herm,0.9135374915077111
0,20,5,0.15,0.00125,DiSim,0.35781609210696685
0,20,5,0.15,0.00125,Herm,0.9095297134319221
0,20,5,0.15,0.0015,DiSim,0.3288058637863839
0,20,5,0.15,0.0015,Herm,0.9045760768362351
0,20,5,0.15,0.00175,DiSim,0.29989440869465134
0,20,5,0.15,0.00175,Herm,0.9028020842226466
0,20,5,0.15,0.002,DiSim,0.27798226007288
0,20,5,0.15,0.002,Herm,0.897161447670021
0,60,5,0.15,0.0,DiSim,0.6627279144470187
0,60,5,0.15,0.0,Herm,0.9920375592665059
0,60,5,0.15,0.00025,DiSim,0.8412766736994622
0,60,5,0.15,0.00025,Herm,0.9888372177014149
0,60,5,0.15,0.0005,DiSim,0.7827297838553952
0,60,5,0.15,0.0005,Herm,0.9897873223379787
0,60,5,0.15,0.00075,DiSim,0.7926208408651139
0,60,5,0.15,0.00075,Herm,0.9920375592665059
0,60,5,0.15,0.001,DiSim,0.8616306919595564
0,60,5,0.15,0.001,Herm,0.9920349257161611
0,60,5,0.15,0.00125,DiSim,0.8393944738630598
0,60,5,0.15,0.00125,Herm,0.9900532257210405
0,60,5,0.15,0.0015,DiSim,0.8126976570489081
0,60,5,0.15,0.0015,Herm,0.9917811346106739
0,60,5,0.15,0.00175,DiSim,0.7908136048385335
0,60,5,0.15,0.00175,Herm,0.9890589370770453
0,60,5,0.15,0.002,DiSim,0.7687575438225454
0,60,5,0.15,0.002,Herm,0.9910486281009346
