,model,p,k,noise,algorithm,ari
0,DSBM,0.002,0.0,DiSim,0.31167665233901354
0,DSBM,0.002,0.0,Herm,0.9311741496525855
0,DSBM_PA,0.002,0.0,DiSim,-1.8152629097844566e-05
0,DSBM_PA,0.002,0.0,Herm,0.004805495898252668
0,DSBM,0.004,0.0,DiSim,0.9154759623803355
0,DSBM,0.004,0.0,Herm,0.9997499968742187
0,DSBM_PA,0.004,0.0,DiSim,-8.120423412290908e-05
0,DSBM_PA,0.004,0.0,Herm,0.003693209116312368
0,DSBM,0.006,0.0,DiSim,0.9894055189115777
0,DSBM,0.006,0.0,Herm,1.0
0,DSBM_PA,0.006,0.0,DiSim,0.02930969735440243
0,DSBM_PA,0.006,0.0,Herm,0.0014669022502515733
0,DSBM,0.008,0.0,DiSim,0.9982505720867437
0,DSBM,0.008,0.0,Herm,1.0
0,DSBM_PA,0.008,0.0,DiSim,0.12938675484546777
0,DSBM_PA,0.008,0.0,Herm,0.012670298000958197
0,DSBM,0.002,0.0875,DiSim,0.15747704262501674
0,DSBM,0.002,0.0875,Herm,0.7305398843392554
0,DSBM_PA,0.002,0.0875,DiSim,-4.820093323918176e-05
0,DSBM_PA,0.002,0.0875,Herm,-3.282785311933028e-05
0,DSBM,0.004,0.0875,DiSim,0.701255111092962
0,DSBM,0.004,0.0875,Herm,0.9820945474007049
0,DSBM_PA,0.004,0.0875,DiSim,0.00010658973238572964
0,DSBM_PA,0.004,0.0875,Herm,-0.00010111381569473164
0,DSBM,0.006,0.0875,DiSim,0.924097790057527
0,DSBM,0.006,0.0875,Herm,0.9986253971597918
0,DSBM_PA,0.006,0.0875,DiSim,8.091195230346732e-05
0,DSBM_PA,0.006,0.0875,Herm,3.5057601670454134e-05
0,DSBM,0.008,0.0875,DiSim,0.980977028405682
0,DSBM,0.008,0.0875,Herm,0.9998749906230465
0,DSBM_PA,0.008,0.0875,DiSim,0.0002813788317922778
0,DSBM_PA,0.008,0.0875,Herm,3.451331889614288e-05
0,DSBM,0.002,0.175,DiSim,0.037646436974125896
0,DSBM,0.002,0.175,Herm,0.22240673515032575
0,DSBM_PA,0.002,0.175,DiSim,-2.7055193430030075e-05
0,DSBM_PA,0.002,0.175,Herm,4.689436750579416e-06
0,DSBM,0.004,0.175,DiSim,0.19928489011524592
0,DSBM,0.004,0.175,Herm,0.8564639478132597
0,DSBM_PA,0.004,0.175,DiSim,1.8179306676463002e-05
0,DSBM_PA,0.004,0.175,Herm,-7.05582843857769e-05
0,DSBM,0.006,0.175,DiSim,0.6532438039946443
0,DSBM,0.006,0.175,Herm,0.9741927532866682
0,DSBM_PA,0.006,0.175,DiSim,8.98719727315656e-05
0,DSBM_PA,0.006,0.175,Herm,0.00034879979208012675
0,DSBM,0.008,0.175,DiSim,0.8570080184103063
0,DSBM,0.008,0.175,Herm,0.9945080912260508
0,DSBM_PA,0.008,0.175,DiSim,-0.00011446506534782694
0,DSBM_PA,0.008,0.175,Herm,-7.1292645899221545e-06
0,DSBM,0.002,0.26249999999999996,DiSim,0.00038195900262944556
0,DSBM,0.002,0.26249999999999996,Herm,0.05012752267046702
0,DSBM_PA,0.002,0.26249999999999996,DiSim,-6.220699882808001e-06
0,DSBM_PA,0.002,0.26249999999999996,Herm,-1.3037406318003202e-05
0,DSBM,0.004,0.26249999999999996,DiSim,0.05714492622627099
0,DSBM,0.004,0.26249999999999996,Herm,0.28258591311162157
0,DSBM_PA,0.004,0.26249999999999996,DiSim,-1.6438113031749393e-05
0,DSBM_PA,0.004,0.26249999999999996,Herm,-8.289761088191488e-05
0,DSBM,0.006,0.26249999999999996,DiSim,0.13857194523059813
0,DSBM,0.006,0.26249999999999996,Herm,0.7049927808741198
0,DSBM_PA,0.006,0.26249999999999996,DiSim,0.00011597534676919162
0,DSBM_PA,0.006,0.26249999999999996,Herm,-7.099083708608884e-05
0,DSBM,0.008,0.26249999999999996,DiSim,0.23326071896386225
0,DSBM,0.008,0.26249999999999996,Herm,0.8845346397978058
0,DSBM_PA,0.008,0.26249999999999996,DiSim,7.560425785996122e-05
0,DSBM_PA,0.008,0.26249999999999996,Herm,-1.8062021943151514e-05
0,DSBM,0.002,0.35,DiSim,0.00019755203910726228
0,DSBM,0.002,0.35,Herm,0.00020567098382642557
0,DSBM_PA,0.002,0.35,DiSim,-0.0001133221580290217
0,DSBM_PA,0.002,0.35,Herm,7.505344063571891e-05
0,DSBM,0.004,0.35,DiSim,0.00034309837243102587
0,DSBM,0.004,0.35,Herm,0.005684656269915996
0,DSBM_PA,0.004,0.35,DiSim,-1.2500427850049884e-05
0,DSBM_PA,0.004,0.35,Herm,1.1406214334463938e-05
0,DSBM,0.006,0.35,DiSim,4.2345678050447836e-05
0,DSBM,0.006,0.35,Herm,0.09287500819236955
0,DSBM_PA,0.006,0.35,DiSim,-8.349911795110163e-06
0,DSBM_PA,0.006,0.35,Herm,-2.3172508759524304e-05
0,DSBM,0.008,0.35,DiSim,0.00991458938979739
0,DSBM,0.008,0.35,Herm,0.15986561309028688
0,DSBM_PA,0.008,0.35,DiSim,-6.631308101122673e-06
0,DSBM_PA,0.008,0.35,Herm,-5.940436605428996e-05
