,p,noise,tau,algorithm,ari
0,0.003,0.0,0.1,DiSim,0.2973276475665707
0,0.003,0.0,0.1,Herm,0.3539128541475228
0,0.003,0.0,0.4,DiSim,0.29670041381849604
0,0.003,0.0,0.4,Herm,0.2916768560518242
0,0.003,0.0,0.75,DiSim,0.2973276475665707
0,0.003,0.0,0.75,Herm,0.24133830150618776
0,0.003,0.0,0.85,DiSim,0.2967664623439733
0,0.003,0.0,0.85,Herm,0.2287254456466475
0,0.003,0.0,1,DiSim,0.297281578474521
0,0.003,0.0,1,Herm,0.21104636254490483
0,0.003,0.0,1.15,DiSim,0.29709015594877897
0,0.003,0.0,1.15,Herm,0.19258255994322723
0,0.003,0.0,1.25,DiSim,0.29688749616791427
0,0.003,0.0,1.25,Herm,0.18404439292551575
0,0.003,0.0,1.6,DiSim,0.2967008029146774
0,0.003,0.0,1.6,Herm,0.15874324542891044
0,0.003,0.0,2,DiSim,0.29688749616791427
0,0.003,0.0,2,Herm,0.13278546223711618
0,0.003,0.0,3,DiSim,0.2988259663206388
0,0.003,0.0,3,Herm,0.09019741091552204
0,0.006,0.0,0.1,DiSim,0.4043543332580158
0,0.006,0.0,0.1,Herm,0.36725251485129357
0,0.006,0.0,0.4,DiSim,0.40423142994674277
0,0.006,0.0,0.4,Herm,0.31927307930855203
0,0.006,0.0,0.75,DiSim,0.4043704980167444
0,0.006,0.0,0.75,Herm,0.28614583998420173
0,0.006,0.0,0.85,DiSim,0.4044171464133129
0,0.006,0.0,0.85,Herm,0.27717165744861244
0,0.006,0.0,1,DiSim,0.4043665997381596
0,0.006,0.0,1,Herm,0.2685109901291839
0,0.006,0.0,1.15,DiSim,0.40461255377378375
0,0.006,0.0,1.15,Herm,0.258283165678368
0,0.006,0.0,1.25,DiSim,0.40425595433904143
0,0.006,0.0,1.25,Herm,0.25226017784571253
0,0.006,0.0,1.6,DiSim,0.4043543332580158
0,0.006,0.0,1.6,Herm,0.23180916228931264
0,0.006,0.0,2,DiSim,0.4046917213013653
0,0.006,0.0,2,Herm,0.20808157936099952
0,0.006,0.0,3,DiSim,0.40425595433904143
0,0.006,0.0,3,Herm,0.15872318541419536
0,0.003,0.15,0.1,DiSim,0.06665873597407113
0,0.003,0.15,0.1,Herm,0.057845723999534276
0,0.003,0.15,0.4,DiSim,0.06657567299593073
0,0.003,0.15,0.4,Herm,0.018625020567147012
0,0.003,0.15,0.75,DiSim,0.06660240278304402
0,0.003,0.15,0.75,Herm,0.009556242414161361
0,0.003,0.15,0.85,DiSim,0.06684677946404695
0,0.003,0.15,0.85,Herm,0.008569084206753851
0,0.003,0.15,1,DiSim,0.06677166685643611
0,0.003,0.15,1,Herm,0.006820018190688622
0,0.003,0.15,1.15,DiSim,0.06624308248621047
0,0.003,0.15,1.15,Herm,0.005547951488494421
0,0.003,0.15,1.25,DiSim,0.0665669312639081
0,0.003,0.15,1.25,Herm,0.005266492855141691
0,0.003,0.15,1.6,DiSim,0.0667244775139616
0,0.003,0.15,1.6,Herm,0.004133255545100825
0,0.003,0.15,2,DiSim,0.0667247861027503
0,0.003,0.15,2,Herm,0.0034629287498895733
0,0.003,0.15,3,DiSim,0.06664452632493575
0,0.003,0.15,3,Herm,0.0024742609538898554
0,0.006,0.15,0.1,DiSim,0.1079308243861755
0,0.006,0.15,0.1,Herm,0.09484146406014711
0,0.006,0.15,0.4,DiSim,0.10809339099655968
0,0.006,0.15,0.4,Herm,0.029003814973811274
0,0.006,0.15,0.75,DiSim,0.10821228423948212
0,0.006,0.15,0.75,Herm,0.012721323223768392
0,0.006,0.15,0.85,DiSim,0.10806572607707343
0,0.006,0.15,0.85,Herm,0.010866217124049919
0,0.006,0.15,1,DiSim,0.10827294106428877
0,0.006,0.15,1,Herm,0.008387706386544052
0,0.006,0.15,1.15,DiSim,0.10828906031683365
0,0.006,0.15,1.15,Herm,0.006147625784210342
0,0.006,0.15,1.25,DiSim,0.10818950344609929
0,0.006,0.15,1.25,Herm,0.005589714826065072
0,0.006,0.15,1.6,DiSim,0.10828005624637141
0,0.006,0.15,1.6,Herm,0.004252553031032853
0,0.006,0.15,2,DiSim,0.10827294106428877
0,0.006,0.15,2,Herm,0.0033041133628750234
0,0.006,0.15,3,DiSim,0.10795540748159194
0,0.006,0.15,3,Herm,0.001777823453984216
